geocode,variablename,year,rank,value,country,region,commonwealth
AGO,Peace and Security,2010,88,64.96,Angola,Sub-Saharan Africa ,
AGO,Political Participation,2010,29,71.37,Angola,Sub-Saharan Africa ,
AGO,Civic Participation,2011,53,50.55,Angola,Sub-Saharan Africa ,
AGO,Education,2011,134,18.13,Angola,Sub-Saharan Africa ,
AGO,Employment and Opportunity,2011,110,49.8,Angola,Sub-Saharan Africa ,
AGO,Equality of Opportunity,2011,102,62.19,Angola,Sub-Saharan Africa ,
AGO,Health and Wellbeing,2011,142,38.35,Angola,Sub-Saharan Africa ,
AGO,Peace and Security,2011,78,66.81,Angola,Sub-Saharan Africa ,
AGO,Political Participation,2011,27,71.37,Angola,Sub-Saharan Africa ,
AGO,Civic Participation,2012,142,27.47,Angola,Sub-Saharan Africa ,
AGO,Education,2012,135,19.52,Angola,Sub-Saharan Africa ,
AGO,Employment and Opportunity,2012,107,50.81,Angola,Sub-Saharan Africa ,
AGO,Equality of Opportunity,2012,115,58.05,Angola,Sub-Saharan Africa ,
AGO,Health and Wellbeing,2012,140,40.77,Angola,Sub-Saharan Africa ,
AGO,Peace and Security,2012,69,69.8,Angola,Sub-Saharan Africa ,
AGO,Political Participation,2012,30,71.37,Angola,Sub-Saharan Africa ,
AGO,Civic Participation,2013,142,29.02,Angola,Sub-Saharan Africa ,
AGO,Education,2013,135,20.91,Angola,Sub-Saharan Africa ,
AGO,Employment and Opportunity,2013,100,52.12,Angola,Sub-Saharan Africa ,
AGO,Equality of Opportunity,2013,120,54.71,Angola,Sub-Saharan Africa ,
AGO,Health and Wellbeing,2013,138,42.8,Angola,Sub-Saharan Africa ,
AGO,Peace and Security,2013,78,69.07,Angola,Sub-Saharan Africa ,
AGO,Political Participation,2013,34,69.59,Angola,Sub-Saharan Africa ,
AGO,Civic Participation,2014,161,11.42,Angola,Sub-Saharan Africa ,
AGO,Education,2014,135,22.3,Angola,Sub-Saharan Africa ,
AGO,Employment and Opportunity,2014,97,53.52,Angola,Sub-Saharan Africa ,
AGO,Equality of Opportunity,2014,131,51.3,Angola,Sub-Saharan Africa ,
AGO,Health and Wellbeing,2014,136,44.4,Angola,Sub-Saharan Africa ,
AGO,Peace and Security,2014,75,70.71,Angola,Sub-Saharan Africa ,
AGO,Political Participation,2014,35,69.59,Angola,Sub-Saharan Africa ,
AGO,Civic Participation,2015,161,11.42,Angola,Sub-Saharan Africa ,
AGO,Education,2015,135,23.06,Angola,Sub-Saharan Africa ,
AGO,Employment and Opportunity,2015,96,54.03,Angola,Sub-Saharan Africa ,
AGO,Equality of Opportunity,2015,131,51.19,Angola,Sub-Saharan Africa ,
AGO,Health and Wellbeing,2015,136,45.34,Angola,Sub-Saharan Africa ,
AGO,Peace and Security,2015,73,70.52,Angola,Sub-Saharan Africa ,
AGO,Political Participation,2015,35,69.59,Angola,Sub-Saharan Africa ,
AGO,Civic Participation,2016,161,11.42,Angola,Sub-Saharan Africa ,
AGO,Education,2016,136,23.83,Angola,Sub-Saharan Africa ,
AGO,Employment and Opportunity,2016,97,54.42,Angola,Sub-Saharan Africa ,
AGO,Equality of Opportunity,2016,131,51.2,Angola,Sub-Saharan Africa ,
AGO,Health and Wellbeing,2016,139,46.24,Angola,Sub-Saharan Africa ,
AGO,Peace and Security,2016,91,64.18,Angola,Sub-Saharan Africa ,
AGO,Political Participation,2016,39,69.59,Angola,Sub-Saharan Africa ,
AGO,Civic Participation,2017,161,11.42,Angola,Sub-Saharan Africa ,
AGO,Education,2017,136,23.83,Angola,Sub-Saharan Africa ,
AGO,Employment and Opportunity,2017,99,54.94,Angola,Sub-Saharan Africa ,
AGO,Equality of Opportunity,2017,131,51.19,Angola,Sub-Saharan Africa ,
AGO,Health and Wellbeing,2017,140,48.35,Angola,Sub-Saharan Africa ,
AGO,Peace and Security,2017,102,60.56,Angola,Sub-Saharan Africa ,
AGO,Political Participation,2017,30,69.59,Angola,Sub-Saharan Africa ,
AGO,Civic Participation,2018,161,11.42,Angola,Sub-Saharan Africa ,
AGO,Education,2018,137,23.83,Angola,Sub-Saharan Africa ,
AGO,Employment and Opportunity,2018,99,54.78,Angola,Sub-Saharan Africa ,
AGO,Equality of Opportunity,2018,134,51.22,Angola,Sub-Saharan Africa ,
AGO,Health and Wellbeing,2018,141,48.35,Angola,Sub-Saharan Africa ,
AGO,Peace and Security,2018,103,59.55,Angola,Sub-Saharan Africa ,
AGO,Political Participation,2018,37,69.59,Angola,Sub-Saharan Africa ,
ALB,Civic Participation,2010,157,17.9,Albania,Europe and Central Asia,
ALB,Education,2010,69,69.56,Albania,Europe and Central Asia,
ALB,Employment and Opportunity,2010,132,44.01,Albania,Europe and Central Asia,
ALB,Equality of Opportunity,2010,82,71.91,Albania,Europe and Central Asia,
ALB,Health and Wellbeing,2010,82,73.69,Albania,Europe and Central Asia,
ALB,Peace and Security,2010,51,78.11,Albania,Europe and Central Asia,
ALB,Political Participation,2010,9,79.7,Albania,Europe and Central Asia,
ALB,Civic Participation,2011,150,22.16,Albania,Europe and Central Asia,
ALB,Education,2011,68,69.8,Albania,Europe and Central Asia,
ALB,Employment and Opportunity,2011,122,47.16,Albania,Europe and Central Asia,
ALB,Equality of Opportunity,2011,94,67.72,Albania,Europe and Central Asia,
ALB,Health and Wellbeing,2011,73,74.79,Albania,Europe and Central Asia,
ALB,Peace and Security,2011,47,78.1,Albania,Europe and Central Asia,
ALB,Political Participation,2011,8,80.3,Albania,Europe and Central Asia,
ALB,Civic Participation,2012,149,24.29,Albania,Europe and Central Asia,
ALB,Education,2012,64,70.88,Albania,Europe and Central Asia,
ALB,Employment and Opportunity,2012,126,46.58,Albania,Europe and Central Asia,
ALB,Equality of Opportunity,2012,72,75.1,Albania,Europe and Central Asia,
ALB,Health and Wellbeing,2012,65,76.73,Albania,Europe and Central Asia,
ALB,Peace and Security,2012,49,77.66,Albania,Europe and Central Asia,
ALB,Political Participation,2012,12,80.89,Albania,Europe and Central Asia,
ALB,Civic Participation,2013,119,35.61,Albania,Europe and Central Asia,
ALB,Education,2013,64,71.53,Albania,Europe and Central Asia,
ALB,Employment and Opportunity,2013,134,42.98,Albania,Europe and Central Asia,
ALB,Equality of Opportunity,2013,85,69.42,Albania,Europe and Central Asia,
ALB,Health and Wellbeing,2013,77,74.85,Albania,Europe and Central Asia,
ALB,Peace and Security,2013,54,76.54,Albania,Europe and Central Asia,
ALB,Political Participation,2013,8,82.67,Albania,Europe and Central Asia,
ALB,Civic Participation,2014,92,41.38,Albania,Europe and Central Asia,
ALB,Education,2014,65,71.79,Albania,Europe and Central Asia,
ALB,Employment and Opportunity,2014,142,36.58,Albania,Europe and Central Asia,
ALB,Equality of Opportunity,2014,94,65.68,Albania,Europe and Central Asia,
ALB,Health and Wellbeing,2014,85,73.8,Albania,Europe and Central Asia,
ALB,Peace and Security,2014,57,76.06,Albania,Europe and Central Asia,
ALB,Political Participation,2014,11,80.44,Albania,Europe and Central Asia,
ALB,Civic Participation,2015,106,40.62,Albania,Europe and Central Asia,
ALB,Education,2015,65,71.76,Albania,Europe and Central Asia,
ALB,Employment and Opportunity,2015,141,37.7,Albania,Europe and Central Asia,
ALB,Equality of Opportunity,2015,84,72.39,Albania,Europe and Central Asia,
ALB,Health and Wellbeing,2015,81,74.79,Albania,Europe and Central Asia,
ALB,Peace and Security,2015,52,78.56,Albania,Europe and Central Asia,
ALB,Political Participation,2015,19,78.22,Albania,Europe and Central Asia,
ALB,Civic Participation,2016,99,42.38,Albania,Europe and Central Asia,
ALB,Education,2016,65,71.52,Albania,Europe and Central Asia,
ALB,Employment and Opportunity,2016,138,40.08,Albania,Europe and Central Asia,
ALB,Equality of Opportunity,2016,68,76.25,Albania,Europe and Central Asia,
ALB,Health and Wellbeing,2016,85,74.22,Albania,Europe and Central Asia,
ALB,Peace and Security,2016,48,78.96,Albania,Europe and Central Asia,
ALB,Political Participation,2016,18,78.22,Albania,Europe and Central Asia,
ALB,Civic Participation,2017,118,38.44,Albania,Europe and Central Asia,
ALB,Education,2017,66,71.48,Albania,Europe and Central Asia,
ALB,Employment and Opportunity,2017,136,42,Albania,Europe and Central Asia,
ALB,Equality of Opportunity,2017,65,75.37,Albania,Europe and Central Asia,
ALB,Health and Wellbeing,2017,86,74.14,Albania,Europe and Central Asia,
ALB,Peace and Security,2017,55,78.31,Albania,Europe and Central Asia,
ALB,Political Participation,2017,14,79.11,Albania,Europe and Central Asia,
ALB,Civic Participation,2018,82,45.79,Albania,Europe and Central Asia,
ALB,Education,2018,66,71.53,Albania,Europe and Central Asia,
ALB,Employment and Opportunity,2018,135,42.3,Albania,Europe and Central Asia,
ALB,Equality of Opportunity,2018,46,78.75,Albania,Europe and Central Asia,
ALB,Health and Wellbeing,2018,88,74.59,Albania,Europe and Central Asia,
ALB,Peace and Security,2018,51,80.19,Albania,Europe and Central Asia,
ALB,Political Participation,2018,19,75.56,Albania,Europe and Central Asia,
ARE,Civic Participation,2010,49,50.33,United Arab Emirates,Middle East and North Africa,
ARE,Education,2010,68,69.65,United Arab Emirates,Middle East and North Africa,
ARE,Employment and Opportunity,2010,39,69.75,United Arab Emirates,Middle East and North Africa,
ARE,Equality of Opportunity,2010,109,59.78,United Arab Emirates,Middle East and North Africa,
ARE,Health and Wellbeing,2010,95,69.79,United Arab Emirates,Middle East and North Africa,
ARE,Peace and Security,2010,30,85.29,United Arab Emirates,Middle East and North Africa,
ARE,Political Participation,2010,159,15.43,United Arab Emirates,Middle East and North Africa,
ARE,Civic Participation,2011,39,54.11,United Arab Emirates,Middle East and North Africa,
ARE,Education,2011,68,69.8,United Arab Emirates,Middle East and North Africa,
ARE,Employment and Opportunity,2011,37,70.3,United Arab Emirates,Middle East and North Africa,
ARE,Equality of Opportunity,2011,111,58.03,United Arab Emirates,Middle East and North Africa,
ARE,Health and Wellbeing,2011,90,71.22,United Arab Emirates,Middle East and North Africa,
ARE,Peace and Security,2011,26,86.91,United Arab Emirates,Middle East and North Africa,
ARE,Political Participation,2011,159,15.43,United Arab Emirates,Middle East and North Africa,
ARE,Civic Participation,2012,19,60.05,United Arab Emirates,Middle East and North Africa,
ARE,Education,2012,68,69.94,United Arab Emirates,Middle East and North Africa,
ARE,Employment and Opportunity,2012,34,73.43,United Arab Emirates,Middle East and North Africa,
ARE,Equality of Opportunity,2012,113,58.17,United Arab Emirates,Middle East and North Africa,
ARE,Health and Wellbeing,2012,92,70.97,United Arab Emirates,Middle East and North Africa,
ARE,Peace and Security,2012,29,88,United Arab Emirates,Middle East and North Africa,
ARE,Political Participation,2012,158,15.43,United Arab Emirates,Middle East and North Africa,
ARE,Civic Participation,2013,23,60.38,United Arab Emirates,Middle East and North Africa,
ARE,Education,2013,68,70.08,United Arab Emirates,Middle East and North Africa,
ARE,Employment and Opportunity,2013,24,76.49,United Arab Emirates,Middle East and North Africa,
ARE,Equality of Opportunity,2013,111,59.5,United Arab Emirates,Middle East and North Africa,
ARE,Health and Wellbeing,2013,92,71.36,United Arab Emirates,Middle East and North Africa,
ARE,Peace and Security,2013,31,88.08,United Arab Emirates,Middle East and North Africa,
ARE,Political Participation,2013,157,15.43,United Arab Emirates,Middle East and North Africa,
ARE,Civic Participation,2014,24,63.25,United Arab Emirates,Middle East and North Africa,
ARE,Education,2014,71,70.22,United Arab Emirates,Middle East and North Africa,
ARE,Employment and Opportunity,2014,22,79.62,United Arab Emirates,Middle East and North Africa,
ARE,Equality of Opportunity,2014,108,60.58,United Arab Emirates,Middle East and North Africa,
ARE,Health and Wellbeing,2014,93,70.97,United Arab Emirates,Middle East and North Africa,
ARE,Peace and Security,2014,29,88.62,United Arab Emirates,Middle East and North Africa,
ARE,Political Participation,2014,157,15.43,United Arab Emirates,Middle East and North Africa,
ARE,Civic Participation,2015,24,63.79,United Arab Emirates,Middle East and North Africa,
ARE,Education,2015,71,70.36,United Arab Emirates,Middle East and North Africa,
ARE,Employment and Opportunity,2015,23,79.58,United Arab Emirates,Middle East and North Africa,
ARE,Equality of Opportunity,2015,108,61.91,United Arab Emirates,Middle East and North Africa,
ARE,Health and Wellbeing,2015,96,70.42,United Arab Emirates,Middle East and North Africa,
ARE,Peace and Security,2015,30,88.55,United Arab Emirates,Middle East and North Africa,
ARE,Political Participation,2015,156,15.43,United Arab Emirates,Middle East and North Africa,
ARE,Civic Participation,2016,14,66.75,United Arab Emirates,Middle East and North Africa,
ARE,Education,2016,71,70.51,United Arab Emirates,Middle East and North Africa,
ARE,Employment and Opportunity,2016,25,79.61,United Arab Emirates,Middle East and North Africa,
ARE,Equality of Opportunity,2016,111,61.09,United Arab Emirates,Middle East and North Africa,
ARE,Health and Wellbeing,2016,93,72.02,United Arab Emirates,Middle East and North Africa,
ARE,Peace and Security,2016,30,88.49,United Arab Emirates,Middle East and North Africa,
ARE,Political Participation,2016,158,15.43,United Arab Emirates,Middle East and North Africa,
ARE,Civic Participation,2017,17,67.66,United Arab Emirates,Middle East and North Africa,
ARE,Education,2017,64,72.03,United Arab Emirates,Middle East and North Africa,
ARE,Employment and Opportunity,2017,27,78.42,United Arab Emirates,Middle East and North Africa,
ARE,Equality of Opportunity,2017,128,53.3,United Arab Emirates,Middle East and North Africa,
ARE,Health and Wellbeing,2017,94,72.06,United Arab Emirates,Middle East and North Africa,
ARE,Peace and Security,2017,33,88.09,United Arab Emirates,Middle East and North Africa,
ARE,Political Participation,2017,159,15.43,United Arab Emirates,Middle East and North Africa,
ARE,Civic Participation,2018,22,63.07,United Arab Emirates,Middle East and North Africa,
ARE,Education,2018,64,72.03,United Arab Emirates,Middle East and North Africa,
ARE,Employment and Opportunity,2018,32,78.51,United Arab Emirates,Middle East and North Africa,
ARE,Equality of Opportunity,2018,122,55.02,United Arab Emirates,Middle East and North Africa,
ARE,Health and Wellbeing,2018,92,72.96,United Arab Emirates,Middle East and North Africa,
ARE,Peace and Security,2018,32,88.83,United Arab Emirates,Middle East and North Africa,
ARE,Political Participation,2018,157,15.43,United Arab Emirates,Middle East and North Africa,
ARG,Civic Participation,2010,60,46.46,Argentina,Latin America and Caribbean ,
ARG,Education,2010,48,76.79,Argentina,Latin America and Caribbean ,
ARG,Employment and Opportunity,2010,108,50.3,Argentina,Latin America and Caribbean ,
ARG,Equality of Opportunity,2010,89,69.08,Argentina,Latin America and Caribbean ,
ARG,Health and Wellbeing,2010,67,76.79,Argentina,Latin America and Caribbean ,
ARG,Peace and Security,2010,71,71.61,Argentina,Latin America and Caribbean ,
ARG,Political Participation,2010,87,52.95,Argentina,Latin America and Caribbean ,
ARG,Civic Participation,2011,84,41.48,Argentina,Latin America and Caribbean ,
ARG,Education,2011,46,77.62,Argentina,Latin America and Caribbean ,
ARG,Employment and Opportunity,2011,101,51.48,Argentina,Latin America and Caribbean ,
ARG,Equality of Opportunity,2011,71,74.66,Argentina,Latin America and Caribbean ,
ARG,Health and Wellbeing,2011,69,75.11,Argentina,Latin America and Caribbean ,
ARG,Peace and Security,2011,69,69.73,Argentina,Latin America and Caribbean ,
ARG,Political Participation,2011,86,52.95,Argentina,Latin America and Caribbean ,
ARG,Civic Participation,2012,93,41.02,Argentina,Latin America and Caribbean ,
ARG,Education,2012,48,77.54,Argentina,Latin America and Caribbean ,
ARG,Employment and Opportunity,2012,95,52.23,Argentina,Latin America and Caribbean ,
ARG,Equality of Opportunity,2012,98,65.11,Argentina,Latin America and Caribbean ,
ARG,Health and Wellbeing,2012,77,74.77,Argentina,Latin America and Caribbean ,
ARG,Peace and Security,2012,68,70.32,Argentina,Latin America and Caribbean ,
ARG,Political Participation,2012,85,52.95,Argentina,Latin America and Caribbean ,
ARG,Civic Participation,2013,85,43.89,Argentina,Latin America and Caribbean ,
ARG,Education,2013,45,78.06,Argentina,Latin America and Caribbean ,
ARG,Employment and Opportunity,2013,104,51.72,Argentina,Latin America and Caribbean ,
ARG,Equality of Opportunity,2013,71,73.77,Argentina,Latin America and Caribbean ,
ARG,Health and Wellbeing,2013,81,74.3,Argentina,Latin America and Caribbean ,
ARG,Peace and Security,2013,79,68.61,Argentina,Latin America and Caribbean ,
ARG,Political Participation,2013,78,55.62,Argentina,Latin America and Caribbean ,
ARG,Civic Participation,2014,115,35.47,Argentina,Latin America and Caribbean ,
ARG,Education,2014,46,77.82,Argentina,Latin America and Caribbean ,
ARG,Employment and Opportunity,2014,106,52.05,Argentina,Latin America and Caribbean ,
ARG,Equality of Opportunity,2014,76,72.56,Argentina,Latin America and Caribbean ,
ARG,Health and Wellbeing,2014,81,75.61,Argentina,Latin America and Caribbean ,
ARG,Peace and Security,2014,77,69.64,Argentina,Latin America and Caribbean ,
ARG,Political Participation,2014,80,56.51,Argentina,Latin America and Caribbean ,
ARG,Civic Participation,2015,80,48.03,Argentina,Latin America and Caribbean ,
ARG,Education,2015,44,78.37,Argentina,Latin America and Caribbean ,
ARG,Employment and Opportunity,2015,106,52.19,Argentina,Latin America and Caribbean ,
ARG,Equality of Opportunity,2015,81,72.56,Argentina,Latin America and Caribbean ,
ARG,Health and Wellbeing,2015,74,77.11,Argentina,Latin America and Caribbean ,
ARG,Peace and Security,2015,76,69.97,Argentina,Latin America and Caribbean ,
ARG,Political Participation,2015,77,57.4,Argentina,Latin America and Caribbean ,
ARG,Civic Participation,2016,66,51.5,Argentina,Latin America and Caribbean ,
ARG,Education,2016,45,78.52,Argentina,Latin America and Caribbean ,
ARG,Employment and Opportunity,2016,106,52.21,Argentina,Latin America and Caribbean ,
ARG,Equality of Opportunity,2016,94,67.69,Argentina,Latin America and Caribbean ,
ARG,Health and Wellbeing,2016,83,75.74,Argentina,Latin America and Caribbean ,
ARG,Peace and Security,2016,77,69.35,Argentina,Latin America and Caribbean ,
ARG,Political Participation,2016,87,54.73,Argentina,Latin America and Caribbean ,
ARG,Civic Participation,2017,86,46.79,Argentina,Latin America and Caribbean ,
ARG,Education,2017,45,78.57,Argentina,Latin America and Caribbean ,
ARG,Employment and Opportunity,2017,106,52.34,Argentina,Latin America and Caribbean ,
ARG,Equality of Opportunity,2017,85,71.42,Argentina,Latin America and Caribbean ,
ARG,Health and Wellbeing,2017,79,76.6,Argentina,Latin America and Caribbean ,
ARG,Peace and Security,2017,80,71.03,Argentina,Latin America and Caribbean ,
ARG,Political Participation,2017,87,54.73,Argentina,Latin America and Caribbean ,
ARG,Civic Participation,2018,105,42.38,Argentina,Latin America and Caribbean ,
ARG,Education,2018,45,78.57,Argentina,Latin America and Caribbean ,
ARG,Employment and Opportunity,2018,108,51.57,Argentina,Latin America and Caribbean ,
ARG,Equality of Opportunity,2018,99,66.69,Argentina,Latin America and Caribbean ,
ARG,Health and Wellbeing,2018,75,77.5,Argentina,Latin America and Caribbean ,
ARG,Peace and Security,2018,77,71.5,Argentina,Latin America and Caribbean ,
ARG,Political Participation,2018,86,53.84,Argentina,Latin America and Caribbean ,
ARM,Civic Participation,2010,158,17.48,Armenia,Europe and Central Asia,
ARM,Education,2010,73,68.81,Armenia,Europe and Central Asia,
ARM,Employment and Opportunity,2010,158,26.07,Armenia,Europe and Central Asia,
ARM,Equality of Opportunity,2010,13,85.07,Armenia,Europe and Central Asia,
ARM,Health and Wellbeing,2010,36,85.11,Armenia,Europe and Central Asia,
ARM,Peace and Security,2010,112,51.51,Armenia,Europe and Central Asia,
ARM,Political Participation,2010,123,39.56,Armenia,Europe and Central Asia,
ARM,Civic Participation,2011,143,23.71,Armenia,Europe and Central Asia,
ARM,Education,2011,83,66.98,Armenia,Europe and Central Asia,
ARM,Employment and Opportunity,2011,159,24.41,Armenia,Europe and Central Asia,
ARM,Equality of Opportunity,2011,21,82.81,Armenia,Europe and Central Asia,
ARM,Health and Wellbeing,2011,35,85.16,Armenia,Europe and Central Asia,
ARM,Peace and Security,2011,96,62.16,Armenia,Europe and Central Asia,
ARM,Political Participation,2011,118,41.33,Armenia,Europe and Central Asia,
ARM,Civic Participation,2012,152,23.68,Armenia,Europe and Central Asia,
ARM,Education,2012,87,66.41,Armenia,Europe and Central Asia,
ARM,Employment and Opportunity,2012,150,32.51,Armenia,Europe and Central Asia,
ARM,Equality of Opportunity,2012,12,86.19,Armenia,Europe and Central Asia,
ARM,Health and Wellbeing,2012,39,85.06,Armenia,Europe and Central Asia,
ARM,Peace and Security,2012,94,61.58,Armenia,Europe and Central Asia,
ARM,Political Participation,2012,118,43.11,Armenia,Europe and Central Asia,
ARM,Civic Participation,2013,156,22.96,Armenia,Europe and Central Asia,
ARM,Education,2013,90,65.83,Armenia,Europe and Central Asia,
ARM,Employment and Opportunity,2013,158,25.85,Armenia,Europe and Central Asia,
ARM,Equality of Opportunity,2013,13,85.14,Armenia,Europe and Central Asia,
ARM,Health and Wellbeing,2013,31,87,Armenia,Europe and Central Asia,
ARM,Peace and Security,2013,76,70.1,Armenia,Europe and Central Asia,
ARM,Political Participation,2013,125,38.67,Armenia,Europe and Central Asia,
ARM,Civic Participation,2014,145,26.12,Armenia,Europe and Central Asia,
ARM,Education,2014,90,65.83,Armenia,Europe and Central Asia,
ARM,Employment and Opportunity,2014,155,30.33,Armenia,Europe and Central Asia,
ARM,Equality of Opportunity,2014,49,78.85,Armenia,Europe and Central Asia,
ARM,Health and Wellbeing,2014,32,87.59,Armenia,Europe and Central Asia,
ARM,Peace and Security,2014,110,54.11,Armenia,Europe and Central Asia,
ARM,Political Participation,2014,125,37.78,Armenia,Europe and Central Asia,
ARM,Civic Participation,2015,132,32.63,Armenia,Europe and Central Asia,
ARM,Education,2015,93,65.85,Armenia,Europe and Central Asia,
ARM,Employment and Opportunity,2015,143,37.33,Armenia,Europe and Central Asia,
ARM,Equality of Opportunity,2015,18,84.75,Armenia,Europe and Central Asia,
ARM,Health and Wellbeing,2015,31,87.95,Armenia,Europe and Central Asia,
ARM,Peace and Security,2015,114,53.95,Armenia,Europe and Central Asia,
ARM,Political Participation,2015,127,36.89,Armenia,Europe and Central Asia,
ARM,Civic Participation,2016,148,29.88,Armenia,Europe and Central Asia,
ARM,Education,2016,94,65.7,Armenia,Europe and Central Asia,
ARM,Employment and Opportunity,2016,147,37.03,Armenia,Europe and Central Asia,
ARM,Equality of Opportunity,2016,37,81.44,Armenia,Europe and Central Asia,
ARM,Health and Wellbeing,2016,45,86.16,Armenia,Europe and Central Asia,
ARM,Peace and Security,2016,114,54.28,Armenia,Europe and Central Asia,
ARM,Political Participation,2016,124,38.67,Armenia,Europe and Central Asia,
ARM,Civic Participation,2017,147,32.35,Armenia,Europe and Central Asia,
ARM,Education,2017,94,65.55,Armenia,Europe and Central Asia,
ARM,Employment and Opportunity,2017,144,39.32,Armenia,Europe and Central Asia,
ARM,Equality of Opportunity,2017,27,83.39,Armenia,Europe and Central Asia,
ARM,Health and Wellbeing,2017,41,87.04,Armenia,Europe and Central Asia,
ARM,Peace and Security,2017,52,78.87,Armenia,Europe and Central Asia,
ARM,Political Participation,2017,111,43.11,Armenia,Europe and Central Asia,
ARM,Civic Participation,2018,99,43.1,Armenia,Europe and Central Asia,
ARM,Education,2018,95,65.4,Armenia,Europe and Central Asia,
ARM,Employment and Opportunity,2018,144,39.32,Armenia,Europe and Central Asia,
