group,Iso3,category,year,banded
Education,SSD,Digital Natives,2010,0.083
Education,TLS,Digital Natives,2013,0
Education,BEN,Digital Natives,2010,0.04
Education,BEN,Digital Natives,2012,0.04
Education,AFG,Digital Natives,2015,0.043
Education,DJI,Digital Natives,2015,0.036
Education,BLR,Digital Natives,2013,0.416
Education,BLR,Digital Natives,2014,0.416
Education,ITA,Digital Natives,2014,0.679
Education,ITA,Digital Natives,2015,0.679
Education,SYR,Digital Natives,2014,0.258
Education,ROU,Digital Natives,2012,0.601
Education,BLR,Digital Natives,2012,0.416
Education,BLR,Digital Natives,2015,0.416
Education,COG,Digital Natives,2015,0.063
Education,GMB,Digital Natives,2011,0.139
Education,GMB,Digital Natives,2014,0.139
Education,CMR,Digital Natives,2015,0.068
Education,BLR,Digital Natives,2011,0.416
Education,ZWE,Digital Natives,2012,0.247
Education,ZWE,Digital Natives,2014,0.247
Education,BEN,Digital Natives,2011,0.04
Education,DJI,Digital Natives,2011,0.036
Education,DJI,Digital Natives,2014,0.036
Education,DJI,Digital Natives,2012,0.036
Education,IRL,Digital Natives,2015,0.786
Education,URY,Digital Natives,2010,0.655
Education,URY,Digital Natives,2013,0.655
Education,MWI,Digital Natives,2012,0.02
Education,MWI,Digital Natives,2013,0.02
Education,MWI,Digital Natives,2015,0.02
Education,LCA,Digital Natives,2010,0.56
Education,ALB,Digital Natives,2010,0.338
Education,ALB,Digital Natives,2012,0.338
Education,LBR,Digital Natives,2013,0.01
Education,MWI,Digital Natives,2010,0.02
Education,MWI,Digital Natives,2011,0.02
Education,CRI,Digital Natives,2012,0.546
Education,CRI,Digital Natives,2014,0.546
Education,PRK,Digital Natives,2011,0.409
Education,PRY,Digital Natives,2013,0.191
Education,LBR,Digital Natives,2012,0.01
Education,IDN,Digital Natives,2012,0.132
Education,IDN,Digital Natives,2013,0.132
Education,IDN,Digital Natives,2014,0.132
Education,JPN,Digital Natives,2010,0.999
Education,CRI,Digital Natives,2011,0.546
Education,CRI,Digital Natives,2013,0.546
Education,CRI,Digital Natives,2015,0.546
Education,CAN,Digital Natives,2013,0.904
Education,LBR,Digital Natives,2015,0.01
Education,GBR,Digital Natives,2013,0.862
Education,PHL,Digital Natives,2010,0.136
Education,CRI,Digital Natives,2010,0.546
Education,GNB,Digital Natives,2010,0.051
Education,MNG,Digital Natives,2011,0.203
Education,MNG,Digital Natives,2014,0.203
Education,GRC,Digital Natives,2012,0.747
Education,MNG,Digital Natives,2010,0.203
Education,MNG,Digital Natives,2015,0.203
Education,LBR,Digital Natives,2010,0.01
Education,LBR,Digital Natives,2014,0.01
Education,AGO,Digital Natives,2015,0.074
Education,GNB,Digital Natives,2012,0.051
Education,BLZ,Digital Natives,2010,0.24
Education,PRK,Digital Natives,2010,0.409
Education,GNB,Digital Natives,2014,0.051
Education,MNG,Digital Natives,2012,0.203
Education,MNG,Digital Natives,2013,0.203
Education,IDN,Digital Natives,2010,0.132
Education,IDN,Digital Natives,2011,0.132
Education,TWN,Digital Natives,2012,0.409
Education,CUB,Digital Natives,2014,0.264
Education,IRN,Digital Natives,2014,0.212
Education,FSM,Digital Natives,2013,0.319
Education,PAN,Digital Natives,2011,0.459
Education,PAN,Digital Natives,2012,0.459
Education,PAN,Digital Natives,2014,0.459
Education,PAN,Digital Natives,2015,0.459
Education,KGZ,Digital Natives,2012,0.302
Education,BLZ,Digital Natives,2014,0.24
Education,UGA,Digital Natives,2014,0.085
Education,UGA,Digital Natives,2015,0.085
Education,SLB,Digital Natives,2012,0.044
Education,ESP,Digital Natives,2010,0.848
Education,AGO,Digital Natives,2014,0.074
Education,AGO,Digital Natives,2012,0.074
Education,KIR,Digital Natives,2011,0.409
Education,BLZ,Digital Natives,2015,0.24
Education,SLB,Digital Natives,2010,0.044
Education,SLB,Digital Natives,2014,0.044
Education,AGO,Digital Natives,2010,0.074
Education,LVA,Digital Natives,2013,0.974
Education,JAM,Digital Natives,2013,0.466
Education,STP,Digital Natives,2011,0.325
Education,STP,Digital Natives,2010,0.325
Education,FSM,Digital Natives,2014,0.319
Education,BWA,Digital Natives,2015,0.119
Education,CUB,Digital Natives,2011,0.264
Education,MYS,Digital Natives,2010,0.748
Education,MYS,Digital Natives,2012,0.748
Education,MYS,Digital Natives,2013,0.748
Education,VNM,Digital Natives,2013,0.434
Education,TON,Digital Natives,2012,0.181
Education,NPL,Digital Natives,2011,0.031
Education,JAM,Digital Natives,2014,0.466
Education,JAM,Digital Natives,2015,0.466
Education,CUB,Digital Natives,2012,0.264
Education,AUT,Digital Natives,2012,0.88
Education,BWA,Digital Natives,2010,0.119
Education,FSM,Digital Natives,2015,0.319
Education,BWA,Digital Natives,2012,0.119
Education,SLB,Digital Natives,2015,0.044
Education,AGO,Digital Natives,2011,0.074
Education,FSM,Digital Natives,2012,0.319
Education,TON,Digital Natives,2014,0.181
Education,MEX,Digital Natives,2014,0.431
Education,MLI,Digital Natives,2014,0.017
Education,SAU,Digital Natives,2013,0.59
Education,LBY,Digital Natives,2013,0.109
Education,LBY,Digital Natives,2011,0.109
Education,TON,Digital Natives,2015,0.181
Education,BLZ,Digital Natives,2012,0.24
Education,GUY,Digital Natives,2011,0.321
Education,CUB,Digital Natives,2010,0.264
Education,LBY,Digital Natives,2010,0.109
Education,SUR,Digital Natives,2015,0.313
Education,MEX,Digital Natives,2010,0.431
Education,DZA,Digital Natives,2015,0.212
Education,ATG,Digital Natives,2014,0.392
Education,VEN,Digital Natives,2010,0.433
Education,TON,Digital Natives,2013,0.181
Education,CYP,Digital Natives,2011,0.627
Education,CYP,Digital Natives,2014,0.627
Education,NLD,Digital Natives,2012,0.988
Education,GIN,Digital Natives,2011,0.016
Education,RUS,Digital Natives,2011,0.495
Education,ETH,Digital Natives,2014,0.006
Education,ETH,Digital Natives,2011,0.006
Education,TON,Digital Natives,2011,0.181
Education,IND,Digital Natives,2013,0.09
Education,CAF,Digital Natives,2011,0.006
Education,SUR,Digital Natives,2013,0.313
Education,ATG,Digital Natives,2011,0.392
Education,TTO,Digital Natives,2011,0.634
Education,RUS,Digital Natives,2015,0.495
Education,IND,Digital Natives,2011,0.09
Education,YEM,Digital Natives,2015,0.115
Education,MRT,Digital Natives,2014,0.031
Education,IND,Digital Natives,2010,0.09
Education,UKR,Digital Natives,2015,0.21
Education,FSM,Digital Natives,2011,0.319
Education,UKR,Digital Natives,2014,0.21
Education,TTO,Digital Natives,2010,0.634
Education,IND,Digital Natives,2012,0.09
Education,SUR,Digital Natives,2012,0.313
Education,ESP,Digital Natives,2012,0.848
Education,FSM,Digital Natives,2010,0.319
Education,BFA,Digital Natives,2015,0.015
Education,BFA,Digital Natives,2014,0.015
Education,GNQ,Digital Natives,2014,0.033
Education,LKA,Digital Natives,2015,0.09
Education,DNK,Digital Natives,2010,0.973
Education,GAB,Digital Natives,2010,0.131
Education,GAB,Digital Natives,2011,0.131
Education,COD,Digital Natives,2010,0.006
Education,PRT,Digital Natives,2014,0.87
Education,COD,Digital Natives,2013,0.006
Education,GUY,Digital Natives,2013,0.321
Education,PRT,Digital Natives,2012,0.87
Education,TTO,Digital Natives,2013,0.634
Education,PRT,Digital Natives,2013,0.87
Education,BRA,Digital Natives,2014,0.602
Education,CHL,Digital Natives,2012,0.671
Education,PER,Digital Natives,2011,0.52
Education,PER,Digital Natives,2013,0.52
Education,PER,Digital Natives,2014,0.52
Education,PER,Digital Natives,2015,0.52
Education,BGD,Digital Natives,2012,0.041
Education,DNK,Digital Natives,2012,0.973
Education,UZB,Digital Natives,2010,0.171
Education,DNK,Digital Natives,2011,0.973
Education,RWA,Digital Natives,2011,0.048
Education,RWA,Digital Natives,2012,0.048
Education,GAB,Digital Natives,2012,0.131
Education,RWA,Digital Natives,2015,0.048
Education,COG,Digital Natives,2012,0.063
Education,COG,Digital Natives,2011,0.063
Education,DNK,Digital Natives,2013,0.973
Education,JOR,Digital Natives,2011,0.402
Education,SLE,Digital Natives,2010,0.003
Education,SLE,Digital Natives,2011,0.003
Education,SLE,Digital Natives,2012,0.003
Education,SLE,Digital Natives,2013,0.003
Education,SLE,Digital Natives,2014,0.003
Education,SVK,Digital Natives,2014,0.932
Education,BGD,Digital Natives,2010,0.041
Education,COG,Digital Natives,2010,0.063
Education,NER,Digital Natives,2012,0.007
Education,TTO,Digital Natives,2015,0.634
Education,BGD,Digital Natives,2014,0.041
Education,UZB,Digital Natives,2012,0.171
Education,SVK,Digital Natives,2012,0.932
Education,CZE,Digital Natives,2010,0.823
Education,MLT,Digital Natives,2013,0.8
Education,LCA,Digital Natives,2013,0.56
Education,NAM,Digital Natives,2015,0.11
Education,JOR,Digital Natives,2015,0.402
Education,JOR,Digital Natives,2014,0.402
Education,LCA,Digital Natives,2014,0.56
Education,IRL,Digital Natives,2010,0.786
Education,GNQ,Digital Natives,2015,0.033
Education,GEO,Digital Natives,2014,0.193
Education,GEO,Digital Natives,2012,0.193
Education,PRY,Digital Natives,2014,0.191
Education,CAN,Digital Natives,2012,0.904
Education,JOR,Digital Natives,2010,0.402
Education,EST,Digital Natives,2010,0.964
Education,DOM,Digital Natives,2013,0.386
Education,PRY,Digital Natives,2011,0.191
Education,DOM,Digital Natives,2012,0.386
Education,LCA,Digital Natives,2012,0.56
Education,LCA,Digital Natives,2015,0.56
Education,GAB,Digital Natives,2014,0.131
Education,GAB,Digital Natives,2015,0.131
Education,TTO,Digital Natives,2014,0.634
Education,KOR,Digital Natives,2012,1
Education,SWE,Digital Natives,2012,0.897
Education,IRL,Digital Natives,2011,0.786
Education,NAM,Digital Natives,2014,0.11
Education,MKD,Digital Natives,2014,0.676
Education,MKD,Digital Natives,2010,0.676
Education,MKD,Digital Natives,2011,0.676
Education,VUT,Digital Natives,2013,0.154
Education,TCD,Digital Natives,2014,0.018
Education,GHA,Digital Natives,2015,0.088
Education,URY,Digital Natives,2012,0.655
Education,URY,Digital Natives,2014,0.655
Education,TUN,Digital Natives,2013,0.365
Education,SLV,Digital Natives,2010,0.139
Education,IRL,Digital Natives,2012,0.786
Education,PHL,Digital Natives,2011,0.136
Education,KEN,Digital Natives,2010,0.181
Education,GHA,Digital Natives,2012,0.088
Education,IRL,Digital Natives,2013,0.786
Education,ALB,Digital Natives,2014,0.338
Education,ALB,Digital Natives,2015,0.338
Education,JPN,Digital Natives,2014,0.999
Education,OMN,Digital Natives,2015,0.257
Education,KOR,Digital Natives,2014,1
Education,GHA,Digital Natives,2014,0.088
Education,CZE,Digital Natives,2013,0.823
Education,ECU,Digital Natives,2015,0.242
Education,ALB,Digital Natives,2011,0.338
Education,JPN,Digital Natives,2013,0.999
Education,IRL,Digital Natives,2014,0.786
Education,GHA,Digital Natives,2010,0.088
Education,GHA,Digital Natives,2011,0.088
Education,ECU,Digital Natives,2012,0.242
Education,ECU,Digital Natives,2014,0.242
Education,TUN,Digital Natives,2010,0.365
Education,ALB,Digital Natives,2013,0.338
Education,GBR,Digital Natives,2014,0.862
Education,MOZ,Digital Natives,2012,0.019
Education,GRC,Digital Natives,2013,0.747
Education,TUN,Digital Natives,2011,0.365
Education,CZE,Digital Natives,2012,0.823
Education,PHL,Digital Natives,2012,0.136
Education,HKG,Digital Natives,2011,0.908
Education,MOZ,Digital Natives,2015,0.019
Education,WSM,Digital Natives,2012,0.121
Education,BGR,Digital Natives,2011,0.684
Education,MOZ,Digital Natives,2011,0.019
Education,AUS,Digital Natives,2010,0.833
Education,GBR,Digital Natives,2015,0.862
Education,MAR,Digital Natives,2013,0.457
Education,MOZ,Digital Natives,2010,0.019
Education,GBR,Digital Natives,2012,0.862
Education,MOZ,Digital Natives,2014,0.019
Education,PHL,Digital Natives,2014,0.136
Education,MOZ,Digital Natives,2013,0.019
Education,CAN,Digital Natives,2015,0.904
Education,PHL,Digital Natives,2015,0.136
Education,WSM,Digital Natives,2011,0.121
Education,PHL,Digital Natives,2013,0.136
Education,ISL,Digital Natives,2011,0.963
Education,PSE,Digital Natives,2014,0.355
Education,SWZ,Digital Natives,2014,0.094
Education,IRN,Digital Natives,2015,0.212
Education,KGZ,Digital Natives,2013,0.302
Education,PSE,Digital Natives,2013,0.355
Education,NPL,Digital Natives,2014,0.031
Education,NPL,Digital Natives,2015,0.031
Education,QAT,Digital Natives,2015,0.384
Education,LBN,Digital Natives,2014,0.399
Education,TUN,Digital Natives,2012,0.365
Education,UGA,Digital Natives,2010,0.085
Education,UGA,Digital Natives,2011,0.085
Education,IRN,Digital Natives,2011,0.212
Education,IRQ,Digital Natives,2011,0.019
Education,AUT,Digital Natives,2014,0.88
Education,LSO,Digital Natives,2010,0.08
Education,AUT,Digital Natives,2013,0.88
Education,VCT,Digital Natives,2011,0.363
Education,JAM,Digital Natives,2012,0.466
Education,IRN,Digital Natives,2013,0.212
Education,BOL,Digital Natives,2011,0.238
Education,TUN,Digital Natives,2014,0.365
Education,EGY,Digital Natives,2013,0.346
Education,GBR,Digital Natives,2011,0.862
Education,GBR,Digital Natives,2010,0.862
Education,BOL,Digital Natives,2013,0.238
Education,BOL,Digital Natives,2015,0.238
Education,MYS,Digital Natives,2011,0.748
Education,BOL,Digital Natives,2012,0.238
Education,TUN,Digital Natives,2015,0.365
Education,ISR,Digital Natives,2012,0.802
Education,JAM,Digital Natives,2010,0.466
Education,BDI,Digital Natives,2012,0.014
Education,BDI,Digital Natives,2014,0.014
Education,AUT,Digital Natives,2015,0.88
Education,BRN,Digital Natives,2015,0.738
Education,CHL,Digital Natives,2013,0.671
Education,GRD,Digital Natives,2011,0.483
Education,LVA,Digital Natives,2015,0.974
Education,GRD,Digital Natives,2015,0.483
Education,CHN,Digital Natives,2013,0.344
Education,SVN,Digital Natives,2013,0.926
Education,VNM,Digital Natives,2012,0.434
Education,BRN,Digital Natives,2012,0.738
Education,MLI,Digital Natives,2011,0.017
Education,MAR,Digital Natives,2011,0.457
Education,GTM,Digital Natives,2010,0.168
Education,CHE,Digital Natives,2013,0.943
Education,CHN,Digital Natives,2012,0.344
Education,KAZ,Digital Natives,2010,0.091
Education,BWA,Digital Natives,2011,0.119
Education,MLI,Digital Natives,2012,0.017
Education,MAR,Digital Natives,2015,0.457
Education,HRV,Digital Natives,2012,0.809
Education,PSE,Digital Natives,2012,0.355
Education,TUR,Digital Natives,2012,0.536
Education,BRA,Digital Natives,2012,0.602
Education,TUR,Digital Natives,2010,0.536
Education,ARG,Digital Natives,2014,0.524
Education,NIC,Digital Natives,2015,0.093
Education,POL,Digital Natives,2013,0.897
Education,CAF,Digital Natives,2013,0.006
Education,LBY,Digital Natives,2014,0.109
Education,PSE,Digital Natives,2015,0.355
Education,POL,Digital Natives,2011,0.897
Education,NLD,Digital Natives,2014,0.988
Education,TUR,Digital Natives,2014,0.536
Education,IND,Digital Natives,2015,0.09
Education,MRT,Digital Natives,2015,0.031
Education,SYR,Digital Natives,2013,0.258
Education,PSE,Digital Natives,2010,0.355
Education,RUS,Digital Natives,2014,0.495
Education,GEO,Digital Natives,2013,0.193
Education,TUR,Digital Natives,2011,0.536
Education,SDN,Digital Natives,2014,0.195
Education,BRA,Digital Natives,2011,0.602
Education,MRT,Digital Natives,2013,0.031
Education,HND,Digital Natives,2014,0.212
Education,IRQ,Digital Natives,2014,0.019
Education,YEM,Digital Natives,2014,0.115
Education,MRT,Digital Natives,2010,0.031
Education,CYP,Digital Natives,2012,0.627
Education,USA,Digital Natives,2015,0.96
Education,LKA,Digital Natives,2010,0.09
Education,MRT,Digital Natives,2011,0.031
Education,MRT,Digital Natives,2012,0.031
Education,DZA,Digital Natives,2010,0.212
Education,USA,Digital Natives,2012,0.96
Education,TUR,Digital Natives,2013,0.536
Education,MUS,Digital Natives,2012,0.421
Education,USA,Digital Natives,2011,0.96
Education,LKA,Digital Natives,2012,0.09
Education,LKA,Digital Natives,2011,0.09
Education,ISL,Digital Natives,2013,0.963
Education,MUS,Digital Natives,2015,0.421
Education,LKA,Digital Natives,2013,0.09
Education,QAT,Digital Natives,2014,0.384
Education,KWT,Digital Natives,2015,0.558
Education,PNG,Digital Natives,2014,0.04
Education,KWT,Digital Natives,2014,0.558
Education,BTN,Digital Natives,2015,0.132
Education,IRQ,Digital Natives,2013,0.019
Education,GMB,Digital Natives,2013,0.139
Education,LBN,Digital Natives,2012,0.399
Education,UZB,Digital Natives,2011,0.171
Education,UZB,Digital Natives,2015,0.171
Education,ARM,Digital Natives,2015,0.139
Education,IRQ,Digital Natives,2015,0.019
Education,THA,Digital Natives,2011,0.421
Education,THA,Digital Natives,2012,0.421
Education,THA,Digital Natives,2013,0.421
Education,THA,Digital Natives,2014,0.421
Education,THA,Digital Natives,2015,0.421
Education,MDV,Digital Natives,2010,0.352
Education,IRQ,Digital Natives,2012,0.019
Education,ZMB,Digital Natives,2012,0.113
Education,IRQ,Digital Natives,2010,0.019
Education,PNG,Digital Natives,2010,0.04
Education,BHR,Digital Natives,2011,0.507
Education,UZB,Digital Natives,2013,0.171
Education,ECU,Digital Natives,2010,0.242
Education,NER,Digital Natives,2010,0.007
Education,ARM,Digital Natives,2013,0.139
Education,FIN,Digital Natives,2012,0.987
Education,PNG,Digital Natives,2015,0.04
Education,PNG,Digital Natives,2013,0.04
Education,NER,Digital Natives,2011,0.007
Education,MEX,Digital Natives,2013,0.431
Education,BGD,Digital Natives,2013,0.041
Education,PNG,Digital Natives,2011,0.04
Education,ITA,Digital Natives,2010,0.679
Education,ARE,Digital Natives,2010,0.566
Education,ARE,Digital Natives,2011,0.566
Education,GEO,Digital Natives,2010,0.193
Education,BEN,Digital Natives,2013,0.04
Education,MDV,Digital Natives,2015,0.352
Education,ZWE,Digital Natives,2011,0.247
Education,PNG,Digital Natives,2012,0.04
Education,GEO,Digital Natives,2011,0.193
Education,GEO,Digital Natives,2015,0.193
Education,DJI,Digital Natives,2013,0.036
Education,NER,Digital Natives,2013,0.007
Education,SWE,Digital Natives,2014,0.897
Education,SWE,Digital Natives,2015,0.897
Education,AZE,Digital Natives,2011,0.306
Education,NER,Digital Natives,2014,0.007
Education,BHS,Digital Natives,2015,0.532
Education,ARE,Digital Natives,2013,0.566
Education,CZE,Digital Natives,2011,0.823
Education,COG,Digital Natives,2014,0.063
Education,AZE,Digital Natives,2015,0.306
Education,TCD,Digital Natives,2012,0.018
Education,BHS,Digital Natives,2011,0.532
Education,NGA,Digital Natives,2013,0.156
Education,CZE,Digital Natives,2015,0.823
Education,AZE,Digital Natives,2014,0.306
Education,AZE,Digital Natives,2012,0.306
Education,SOM,Digital Natives,2015,0.025
Education,SOM,Digital Natives,2014,0.025
Education,BRB,Digital Natives,2010,0.908
Education,BDI,Digital Natives,2011,0.014
Education,MKD,Digital Natives,2012,0.676
Education,ISL,Digital Natives,2015,0.963
Education,ISL,Digital Natives,2014,0.963
Education,MDA,Digital Natives,2010,0.455
Education,SOM,Digital Natives,2012,0.025
Education,MDA,Digital Natives,2014,0.455
Education,BRB,Digital Natives,2014,0.908
Education,ROU,Digital Natives,2015,0.601
Education,GHA,Digital Natives,2013,0.088
Education,MWI,Digital Natives,2014,0.02
Education,PRY,Digital Natives,2015,0.191
Education,BOL,Digital Natives,2014,0.238
Education,BRN,Digital Natives,2014,0.738
Education,TWN,Digital Natives,2014,0.409
Education,NGA,Digital Natives,2015,0.156
Education,ARE,Digital Natives,2012,0.566
Education,SAU,Digital Natives,2014,0.59
Education,PRK,Digital Natives,2013,0.409
Education,MDV,Digital Natives,2014,0.352
Education,ARE,Digital Natives,2015,0.566
Education,CAN,Digital Natives,2010,0.904
Education,LBY,Digital Natives,2012,0.109
Education,ATG,Digital Natives,2015,0.392
Education,ARE,Digital Natives,2014,0.566
Education,TZA,Digital Natives,2014,0.165
Education,CIV,Digital Natives,2012,0.041
Education,ECU,Digital Natives,2011,0.242
Education,BRB,Digital Natives,2013,0.908
Education,COL,Digital Natives,2012,0.455
Education,CZE,Digital Natives,2014,0.823
Education,EGY,Digital Natives,2011,0.346
Education,KEN,Digital Natives,2012,0.181
Education,KEN,Digital Natives,2015,0.181
Education,BEL,Digital Natives,2014,0.916
Education,PRK,Digital Natives,2012,0.409
Education,HTI,Digital Natives,2010,0.169
Education,LAO,Digital Natives,2013,0.036
Education,BGR,Digital Natives,2015,0.684
Education,NZL,Digital Natives,2012,0.952
Education,AUS,Digital Natives,2014,0.833
Education,BRB,Digital Natives,2012,0.908
Education,KHM,Digital Natives,2015,0.01
Education,ZWE,Digital Natives,2015,0.247
Education,ISL,Digital Natives,2012,0.963
Education,SEN,Digital Natives,2010,0.176
Education,BRB,Digital Natives,2011,0.908
Education,MDG,Digital Natives,2015,0.013
Education,KAZ,Digital Natives,2011,0.091
Education,WSM,Digital Natives,2014,0.121
Education,ZAF,Digital Natives,2011,0.182
Education,ISL,Digital Natives,2010,0.963
Education,VCT,Digital Natives,2012,0.363
Education,VCT,Digital Natives,2015,0.363
Education,QAT,Digital Natives,2010,0.384
Education,EGY,Digital Natives,2012,0.346
Education,HKG,Digital Natives,2015,0.908
Education,TWN,Digital Natives,2013,0.409
Education,QAT,Digital Natives,2011,0.384
Education,BDI,Digital Natives,2013,0.014
Education,LSO,Digital Natives,2015,0.08
Education,KGZ,Digital Natives,2011,0.302
Education,KGZ,Digital Natives,2015,0.302
Education,PAN,Digital Natives,2010,0.459
Education,UGA,Digital Natives,2013,0.085
Education,QAT,Digital Natives,2013,0.384
Education,BRN,Digital Natives,2011,0.738
Education,GIN,Digital Natives,2015,0.016
Education,GTM,Digital Natives,2015,0.168
Education,GRD,Digital Natives,2012,0.483
